# k[h/Mpc]   P(k)[(Mpc/h)^3]
0.00577019   21788
0.0057835   21812.8
0.00579683   21837.5
0.0058102   21862.1
0.0058236   21886.8
0.00583702   21911.4
0.00585048   21936.1
0.00586397   21960.7
0.0058775   21985.2
0.00589105   22009.8
0.00590463   22034.3
0.00591825   22058.8
0.00593189   22083.3
0.00594557   22107.7
0.00595928   22132.1
0.00597302   22156.5
0.00598679   22180.9
0.0060006   22205.2
0.00601443   22229.6
0.0060283   22253.8
0.0060422   22278.1
0.00605614   22302.4
0.0060701   22326.6
0.0060841   22350.8
0.00609812   22374.9
0.00611219   22399
0.00612628   22423.2
0.00614041   22447.2
0.00615456   22471.3
0.00616876   22495.3
0.00618298   22519.3
0.00619724   22543.3
0.00621153   22567.2
0.00622585   22591.1
0.0062402   22615
0.00625459   22638.8
0.00626901   22662.6
0.00628347   22686.4
0.00629796   22710.2
0.00631248   22733.9
0.00632704   22757.6
0.00634162   22781.3
0.00635625   22804.9
0.0063709   22828.5
0.00638559   22852.1
0.00640032   22875.6
0.00641508   22899.1
0.00642987   22922.6
0.00644469   22946.1
0.00645955   22969.5
0.00647445   22992.9
0.00648938   23016.2
0.00650434   23039.5
0.00651934   23062.8
0.00653437   23086
0.00654944   23109.3
0.00656454   23132.4
0.00657968   23155.6
0.00659485   23178.7
0.00661005   23201.8
0.0066253   23224.8
0.00664057   23247.8
0.00665588   23270.8
0.00667123   23293.7
0.00668661   23316.6
0.00670203   23339.5
0.00671749   23362.3
0.00673298   23385.1
0.0067485   23407.8
0.00676406   23430.5
0.00677966   23453.2
0.00679529   23475.9
0.00681096   23498.5
0.00682666   23521
0.00684241   23543.6
0.00685818   23566.1
0.006874   23588.5
0.00688985   23610.9
0.00690573   23633.3
0.00692166   23655.6
0.00693762   23677.9
0.00695361   23700.2
0.00696965   23722.4
0.00698572   23744.6
0.00700183   23766.7
0.00701797   23788.8
0.00703415   23810.8
0.00705037   23832.8
0.00706663   23854.8
0.00708292   23876.7
0.00709926   23898.6
0.00711563   23920.5
0.00713203   23942.3
0.00714848   23964
0.00716496   23985.8
0.00718148   24007.4
0.00719804   24029.1
0.00721464   24050.6
0.00723127   24072.2
0.00724795   24093.7
0.00726466   24115.2
0.00728141   24136.6
0.0072982   24157.9
0.00731503   24179.3
0.0073319   24200.5
0.0073488   24221.8
0.00736575   24243
0.00738273   24264.1
0.00739975   24285.2
0.00741682   24306.2
0.00743392   24327.3
0.00745106   24348.2
