# r[Mpc/h]   xi_quantum(r)
239.532   -0.0701863
239.781   -0.0700255
240.03   -0.0698585
240.279   -0.0697001
240.529   -0.0695354
240.778   -0.0693732
241.027   -0.0692148
241.276   -0.0690488
241.526   -0.0688924
241.775   -0.0687296
242.024   -0.0685685
242.273   -0.0684125
242.523   -0.0682476
242.772   -0.068093
243.021   -0.0679323
243.27   -0.067772
243.52   -0.0676186
243.769   -0.0674547
244.018   -0.067302
244.267   -0.0671434
244.517   -0.0669839
244.766   -0.0668333
245.015   -0.0666703
245.264   -0.0665194
245.514   -0.0663631
245.763   -0.0662042
246.012   -0.0660564
246.261   -0.0658944
246.511   -0.065745
246.76   -0.0655914
247.009   -0.0654327
247.258   -0.0652879
247.508   -0.065127
247.757   -0.064979
248.006   -0.0648282
248.255   -0.0646696
248.505   -0.064528
248.754   -0.064368
249.003   -0.0642213
249.252   -0.0640737
249.502   -0.0639148
249.751   -0.0637764
250   -0.0636177
