# k[h/Mpc]   P(k)[(Mpc/h)^3]
0.0073488   2.46475e+07
0.00736575   2.46691e+07
0.00738273   2.46906e+07
0.00739975   2.47121e+07
0.00741682   2.47335e+07
0.00743392   2.47549e+07
0.00745106   2.47762e+07
0.00746824   2.47975e+07
0.00748546   2.48187e+07
0.00750272   2.48399e+07
0.00752002   2.4861e+07
0.00753736   2.48821e+07
0.00755474   2.49031e+07
0.00757216   2.49241e+07
0.00758962   2.49451e+07
0.00760712   2.49659e+07
0.00762466   2.49868e+07
0.00764224   2.50076e+07
0.00765986   2.50283e+07
0.00767753   2.5049e+07
0.00769523   2.50696e+07
0.00771297   2.50902e+07
0.00773076   2.51108e+07
0.00774858   2.51313e+07
0.00776645   2.51517e+07
0.00778436   2.51721e+07
0.00780231   2.51924e+07
0.0078203   2.52127e+07
0.00783833   2.52329e+07
0.0078564   2.52531e+07
0.00787452   2.52732e+07
0.00789268   2.52933e+07
0.00791088   2.53133e+07
0.00792912   2.53332e+07
0.0079474   2.53532e+07
0.00796572   2.5373e+07
0.00798409   2.53928e+07
0.0080025   2.54125e+07
0.00802095   2.54322e+07
0.00803945   2.54519e+07
0.00805799   2.54714e+07
0.00807657   2.5491e+07
0.00809519   2.55104e+07
0.00811386   2.55298e+07
0.00813257   2.55492e+07
0.00815132   2.55685e+07
0.00817011   2.55877e+07
0.00818895   2.56069e+07
0.00820783   2.56261e+07
0.00822676   2.56451e+07
0.00824573   2.56641e+07
0.00826474   2.56831e+07
0.0082838   2.5702e+07
0.0083029   2.57208e+07
0.00832204   2.57396e+07
0.00834123   2.57583e+07
0.00836047   2.5777e+07
0.00837975   2.57956e+07
0.00839907   2.58141e+07
0.00841843   2.58326e+07
0.00843785   2.5851e+07
0.0084573   2.58694e+07
0.0084768   2.58877e+07
0.00849635   2.59059e+07
0.00851594   2.59241e+07
0.00853558   2.59423e+07
0.00855526   2.59603e+07
0.00857498   2.59783e+07
0.00859476   2.59962e+07
0.00861457   2.60141e+07
0.00863444   2.60319e+07
0.00865435   2.60497e+07
0.0086743   2.60674e+07
0.0086943   2.6085e+07
0.00871435   2.61026e+07
0.00873444   2.61201e+07
0.00875458   2.61375e+07
0.00877477   2.61549e+07
0.008795   2.61722e+07
0.00881528   2.61894e+07
0.00883561   2.62066e+07
0.00885598   2.62237e+07
0.0088764   2.62407e+07
0.00889687   2.62577e+07
0.00891739   2.62746e+07
0.00893795   2.62915e+07
0.00895856   2.63083e+07
0.00897921   2.6325e+07
0.00899992   2.63417e+07
0.00902067   2.63582e+07
0.00904147   2.63748e+07
0.00906232   2.63912e+07
0.00908321   2.64076e+07
0.00910416   2.64239e+07
0.00912515   2.64402e+07
0.00914619   2.64563e+07
0.00916728   2.64725e+07
0.00918842   2.64885e+07
0.00920961   2.65045e+07
0.00923084   2.65204e+07
0.00925213   2.65362e+07
0.00927346   2.6552e+07
0.00929484   2.65677e+07
0.00931628   2.65833e+07
0.00933776   2.65989e+07
0.00935929   2.66144e+07
0.00938087   2.66298e+07
0.0094025   2.66452e+07
0.00942418   2.66604e+07
0.00944591   2.66757e+07
0.00946769   2.66908e+07
0.00948952   2.67059e+07
0.0095114   2.67209e+07
0.00953333   2.67358e+07
0.00955532   2.67506e+07
0.00957735   2.67654e+07
0.00959943   2.67801e+07
0.00962157   2.67947e+07
0.00964375   2.68093e+07
0.00966599   2.68238e+07
0.00968828   2.68382e+07
0.00971062   2.68525e+07
0.00973301   2.68668e+07
0.00975545   2.6881e+07
0.00977794   2.68951e+07
0.00980049   2.69092e+07
0.00982309   2.69231e+07
