# r[Mpc/h]   xi(r)
167.997   -0.119133
168.246   -0.119063
168.495   -0.11899
168.745   -0.118915
168.994   -0.118837
169.243   -0.118758
169.492   -0.118675
169.742   -0.118591
169.991   -0.118504
170.24   -0.118415
170.489   -0.118324
170.739   -0.118231
170.988   -0.118135
171.237   -0.118039
171.486   -0.117939
171.736   -0.117838
171.985   -0.117734
172.234   -0.117628
172.483   -0.117522
172.733   -0.117412
172.982   -0.117301
173.231   -0.117188
173.48   -0.117073
173.73   -0.116957
173.979   -0.116838
174.228   -0.116718
174.477   -0.116597
174.727   -0.116473
174.976   -0.116349
175.225   -0.116221
175.474   -0.116094
175.724   -0.115964
175.973   -0.115832
176.222   -0.1157
176.471   -0.115565
176.721   -0.11543
176.97   -0.115293
177.219   -0.115154
177.468   -0.115015
177.718   -0.114873
177.967   -0.114731
178.216   -0.114588
178.465   -0.114442
178.715   -0.114296
178.964   -0.114148
179.213   -0.113999
179.462   -0.113849
179.712   -0.113697
179.961   -0.113546
180.21   -0.113391
180.459   -0.113237
180.709   -0.113082
180.958   -0.112923
181.207   -0.112767
181.456   -0.112607
181.706   -0.112447
181.955   -0.112287
182.204   -0.112124
182.453   -0.111962
182.703   -0.111797
182.952   -0.111632
183.201   -0.111468
183.45   -0.1113
183.7   -0.111134
183.949   -0.110965
184.198   -0.110795
184.447   -0.110627
184.697   -0.110454
184.946   -0.110284
185.195   -0.110111
185.444   -0.109938
185.694   -0.109765
185.943   -0.109589
186.192   -0.109415
186.441   -0.109239
186.691   -0.109061
186.94   -0.108886
187.189   -0.108706
187.438   -0.108529
187.688   -0.108349
187.937   -0.108168
188.186   -0.10799
188.435   -0.107807
188.685   -0.107627
188.934   -0.107445
189.183   -0.10726
189.432   -0.10708
189.682   -0.106894
189.931   -0.106711
190.18   -0.106527
190.429   -0.10634
190.679   -0.106157
190.928   -0.105969
191.177   -0.105783
191.426   -0.105597
191.676   -0.105407
191.925   -0.105223
192.174   -0.105032
192.423   -0.104844
